id,srcLatitude,srcLongitude,destLatitude,destLongitude,airline,srcAirport,destAirport
1,40.64,-73.78,28.57,77.1,Air India Limited,JFK,DEL
2,40.08,116.58,21.32,-157.92,United Airlines,PEK,HNL
3,43.68,-79.63,24.91,67.16,Pakistan International Airlines,YYZ,KHI
4,43.68,-79.63,31.52,74.4,Pakistan International Airlines,YYZ,LHE
5,25.25,55.36,33.64,-84.43,Delta Air Lines,DXB,ATL
6,-26.14,28.25,40.64,-73.78,US Airways,JNB,JFK
7,41.98,-87.9,24.43,54.65,Etihad Airways,ORD,AUH
8,40.64,-73.78,31.52,74.4,Pakistan International Airlines,JFK,LHE
9,43.68,-79.63,33.62,73.1,Pakistan International Airlines,YYZ,ISB
10,41.98,-87.9,25.26,51.57,Qatar Airways,ORD,DOH
11,33.94,-118.41,40.98,28.81,US Airways,LAX,IST
12,38.94,-77.46,25.25,55.36,United Airlines,IAD,DXB
13,38.94,-77.46,24.43,54.65,Etihad Airways,IAD,AUH
14,43.68,-79.63,24.43,54.65,Etihad Airways,YYZ,AUH
15,-23.43,-46.47,25.25,55.36,Emirates,GRU,DXB
16,43.68,-79.63,25.25,55.36,Emirates,YYZ,DXB
17,55.59,37.26,33.94,-118.41,Transaero Airlines,VKO,LAX
18,-33.95,151.18,24.43,54.65,Virgin Australia,SYD,AUH
19,55.97,37.41,33.94,-118.41,Aeroflot Russian Airlines,SVO,LAX
20,-33.95,151.18,25.25,55.36,Qantas,SYD,DXB
21,-37.67,144.84,25.26,51.57,Qatar Airways,MEL,DOH
22,-23.43,-46.47,24.43,54.65,Etihad Airways,GRU,AUH
23,37.47,126.45,21.32,-157.92,Asiana Airlines,ICN,HNL
24,43.68,-79.63,8.98,38.8,Ethiopian Airlines,YYZ,ADD
25,25.25,55.36,-27.38,153.12,Qantas,DXB,BNE
26,40.08,116.58,-8.86,13.23,TAAG Angola Airlines,PEK,LAD
27,38.94,-77.46,8.98,38.8,Ethiopian Airlines,IAD,ADD
28,38.94,-77.46,25.26,51.57,Qatar Airways,IAD,DOH
29,40.08,116.58,-26.14,28.25,South African Airways,PEK,JNB
30,-33.39,-70.79,49.01,2.55,Alitalia,SCL,CDG
31,-22.81,-43.24,25.25,55.36,Emirates,GIG,DXB
32,40.64,-73.78,24.43,54.65,Etihad Airways,JFK,AUH
33,40.64,-73.78,25.25,55.36,Emirates,JFK,DXB
34,-23.43,-46.47,25.26,51.57,Qatar Airways,GRU,DOH
35,-37.67,144.84,24.43,54.65,Virgin Australia,MEL,AUH
36,-37.67,144.84,25.25,55.36,Qantas,MEL,DXB
37,31.14,121.81,21.32,-157.92,China Eastern Airlines,PVG,HNL
38,42.02,35.07,8.97,-79.56,Metro Batavia,SIC,PAC
39,8.63,-79.03,42.02,35.07,Metro Batavia,OTD,SIC
40,14.51,121.02,51.48,-0.46,Philippine Airlines,MNL,LHR
41,39.87,-75.24,25.26,51.57,Qatar Airways,PHL,DOH
42,50.03,8.54,-34.82,-58.54,Lufthansa,FRA,EZE
43,-34.82,-58.54,52.31,4.76,KLM Royal Dutch Airlines,EZE,AMS
44,-33.95,151.18,-26.14,28.25,South African Airways,SYD,JNB
45,25.25,55.36,42.36,-71.01,Emirates,DXB,BOS
46,40.64,-73.78,25.26,51.57,Qatar Airways,JFK,DOH
47,24.96,46.7,38.94,-77.46,Saudi Arabian Airlines,RUH,IAD
48,1.35,103.99,51.48,-0.46,Virgin Atlantic Airways,SIN,LHR
49,42.78,141.69,21.32,-157.92,Hawaiian Airlines,CTS,HNL
50,29.23,47.97,38.94,-77.46,United Airlines,KWI,IAD
51,41.8,12.25,-34.82,-58.54,Alitalia,FCO,EZE
52,45.47,-73.74,25.26,51.57,Qatar Airways,YUL,DOH
53,21.32,-157.92,33.59,130.45,Hawaiian Airlines,HNL,FUK
54,51.48,-0.46,-34.82,-58.54,British Airways,LHR,EZE
