id,srcLatitude,srcLongitude,destLatitude,destLongitude,distance,parent
1,40.64,-73.78,28.57,77.1,13888.79107,0
2,40.08,116.58,21.32,-157.92,13718.66034,0
3,43.68,-79.63,24.91,67.16,13659.74477,0
4,43.68,-79.63,31.52,74.4,13651.62518,0
5,25.25,55.36,33.64,-84.43,13581.99894,0
6,-26.14,28.25,40.64,-73.78,13495.68425,0
7,41.98,-87.9,24.43,54.65,13419.4276,0
8,40.64,-73.78,31.52,74.4,13368.95497,0
9,43.68,-79.63,33.62,73.1,13324.72043,0
10,41.98,-87.9,25.26,51.57,13060.6251,0
11,33.94,-118.41,40.98,28.81,13031.57319,0
12,38.94,-77.46,25.25,55.36,12616.30014,0
13,38.94,-77.46,24.43,54.65,12616.04037,0
14,43.68,-79.63,24.43,54.65,12567.19129,0
15,-23.43,-46.47,25.25,55.36,12561.50191,0
16,43.68,-79.63,25.25,55.36,12557.18102,0
17,55.59,37.26,33.94,-118.41,12536.59404,0
18,-33.95,151.18,24.43,54.65,12523.7772,0
19,55.97,37.41,33.94,-118.41,12516.79416,0
20,-33.95,151.18,25.25,55.36,12509.19111,0
21,-37.67,144.84,25.26,51.57,12473.51602,0
22,-23.43,-46.47,24.43,54.65,12451.51487,0
23,37.47,126.45,21.32,-157.92,12437.78158,0
24,43.68,-79.63,8.98,38.8,12429.71532,0
25,25.25,55.36,-27.38,153.12,12355.30453,0
26,40.08,116.58,-8.86,13.23,12345.59198,0
27,38.94,-77.46,8.98,38.8,12285.90164,0
28,38.94,-77.46,25.26,51.57,12260.07964,0
29,40.08,116.58,-26.14,28.25,12229.74081,0
30,-33.39,-70.79,49.01,2.55,12227.59903,0
31,-22.81,-43.24,25.25,55.36,12207.05832,0
32,40.64,-73.78,24.43,54.65,12185.85317,0
33,40.64,-73.78,25.25,55.36,12183.90753,0
34,-23.43,-46.47,25.26,51.57,12181.81254,0
35,-37.67,144.84,24.43,54.65,12133.10269,0
36,-37.67,144.84,25.25,55.36,12127.36323,0
37,31.14,121.81,21.32,-157.92,12123.9007,0
38,42.02,35.07,8.97,-79.56,12088.63343,0
39,8.63,-79.03,42.02,35.07,12066.14617,0
40,14.51,121.02,51.48,-0.46,12064.54872,0
41,39.87,-75.24,25.26,51.57,12005.87298,0
42,50.03,8.54,-34.82,-58.54,11997.78868,0
43,-34.82,-58.54,52.31,4.76,11938.75531,0
44,-33.95,151.18,-26.14,28.25,11876.58324,0
45,25.25,55.36,42.36,-71.01,11841.60557,0
46,40.64,-73.78,25.26,51.57,11831.96387,0
